symbol,yf_symbol,close,adj_close,volume,high_20d,rsi14,bb_upper,bb_lower,sma20,sma50,sma200,ema9,ema21,atr14,avg_dollar_volume_20d,market_cap,beta_1y,engine,score,reasons,signals,rank,risk,fundamentals,score_breakout,score_momentum,score_liquidity
KEYS,KEYS,324.17999267578125,324.17999267578125,1178400.0,324.17999267578125,69.58530208219526,320.83413870416246,262.92485482611096,291.8794967651367,271.9821984863281,203.1002996826172,305.5358997076106,294.1384006386681,12.613355364118304,387173924.9873352,55602626560.0,1.152,bull,0.9218897656164644,"['New/near 20D high: close=324.18, high_20d=324.18', 'Momentum confirmation: RSI14=69.59', 'Liquidity filter passed: avg$vol20d=387173925']","['New/near 20D high: close=324.18, high_20d=324.18', 'Momentum confirmation: RSI14=69.59', 'Liquidity filter passed: avg$vol20d=387173925']",11,"{'support_level': 262.92485482611096, 'resistance_level': 324.17999267578125, 'atr14': 12.613355364118304, 'stop_loss': 250.31149946199267, 'take_profit': 336.79334803989957, 'method': 'stop=bb_lower-1*atr14; tp=high_20d+1*atr14 (fallback close+3*atr14)'}","{'roe': 0.17222999, 'pe': 57.174603, 'revenue_growth_qoq': 0.12755461592670891, 'revenue_growth_yoy': 0.2326656394453004}",1.0,0.7396325520548814,1.0
NUE,NUE,186.1199951171875,186.1199951171875,1644100.0,186.1199951171875,69.48399877092834,184.08776461654904,151.55451443618531,167.82113952636718,174.92838623046876,154.32510196685791,176.55125935894281,172.32129779681725,4.554999215262277,242110699.61875916,42393407488.0,1.745,bull,0.9211299907819626,"['New/near 20D high: close=186.12, high_20d=186.12', 'Momentum confirmation: RSI14=69.48', 'Liquidity filter passed: avg$vol20d=242110700']","['New/near 20D high: close=186.12, high_20d=186.12', 'Momentum confirmation: RSI14=69.48', 'Liquidity filter passed: avg$vol20d=242110700']",12,"{'support_level': 151.55451443618531, 'resistance_level': 186.1199951171875, 'atr14': 4.554999215262277, 'stop_loss': 146.99951522092303, 'take_profit': 190.67499433244978, 'method': 'stop=bb_lower-1*atr14; tp=high_20d+1*atr14 (fallback close+3*atr14)'}","{'roe': 0.09361, 'pe': 24.75, 'revenue_growth_qoq': -0.09787583616946371, 'revenue_growth_yoy': 0.08641193625686072}",1.0,0.7370999692732084,1.0
GEV,GEV,991.3200073242188,991.3200073242188,2161300.0,991.3200073242188,69.39140775573202,977.6530164502414,791.4993334032744,884.5761749267579,842.208544921875,668.7339793395996,926.5210590564512,892.2762280405852,44.899998256138396,2228613609.5080566,267189960704.0,1.196,bull,0.9204355581679902,"['New/near 20D high: close=991.32, high_20d=991.32', 'Momentum confirmation: RSI14=69.39', 'Liquidity filter passed: avg$vol20d=2228613610']","['New/near 20D high: close=991.32, high_20d=991.32', 'Momentum confirmation: RSI14=69.39', 'Liquidity filter passed: avg$vol20d=2228613610']",13,"{'support_level': 791.4993334032744, 'resistance_level': 991.3200073242188, 'atr14': 44.899998256138396, 'stop_loss': 746.599335147136, 'take_profit': 1036.220005580357, 'method': 'stop=bb_lower-1*atr14; tp=high_20d+1*atr14 (fallback close+3*atr14)'}","{'roe': 0.42641, 'pe': 56.16544, 'revenue_growth_qoq': 0.09900692145651524, 'revenue_growth_yoy': 0.037696533434362633}",1.0,0.7347851938933004,1.0
CMI,CMI,616.1400146484375,616.1400146484375,612600.0,616.1400146484375,69.12634822885425,604.0112797532526,499.2607295240913,551.6360046386719,568.2500549316406,468.9810763549805,576.7127174047456,562.9159738555026,19.710008893694198,426878504.96673584,85185929216.0,1.14,bull,0.9184476117164069,"['New/near 20D high: close=616.14, high_20d=616.14', 'Momentum confirmation: RSI14=69.13', 'Liquidity filter passed: avg$vol20d=426878505']","['New/near 20D high: close=616.14, high_20d=616.14', 'Momentum confirmation: RSI14=69.13', 'Liquidity filter passed: avg$vol20d=426878505']",14,"{'support_level': 499.2607295240913, 'resistance_level': 616.1400146484375, 'atr14': 19.710008893694198, 'stop_loss': 479.5507206303971, 'take_profit': 635.8500235421317, 'method': 'stop=bb_lower-1*atr14; tp=high_20d+1*atr14 (fallback close+3*atr14)'}","{'roe': 0.23928, 'pe': 30.026316, 'revenue_growth_qoq': 0.02633160995551287, 'revenue_growth_yoy': 0.010536285071623075}",1.0,0.7281587057213563,1.0
NTRS,NTRS,152.22999572753906,152.22999572753906,824700.0,152.6300048828125,69.20327594140113,151.8693743555342,129.3116269262041,140.59050064086915,143.1222232055664,133.4256950378418,146.5566717648732,143.19330937438602,3.9485680716378346,142471026.11442566,28789338112.0,1.242,bull,0.9177141812276883,"['New/near 20D high: close=152.23, high_20d=152.63', 'Momentum confirmation: RSI14=69.20', 'Liquidity filter passed: avg$vol20d=142471026']","['New/near 20D high: close=152.23, high_20d=152.63', 'Momentum confirmation: RSI14=69.20', 'Liquidity filter passed: avg$vol20d=142471026']",15,"{'support_level': 129.3116269262041, 'resistance_level': 152.6300048828125, 'atr14': 3.9485680716378346, 'stop_loss': 125.36305885456626, 'take_profit': 156.57857295445032, 'method': 'stop=bb_lower-1*atr14; tp=high_20d+1*atr14 (fallback close+3*atr14)'}","{'roe': 0.13492, 'pe': 17.41762, 'revenue_growth_qoq': 0.04828675817122541, 'revenue_growth_yoy': 0.08348642580118382}",0.9973792233343597,0.7300818985350283,1.0
STX,STX,503.1300048828125,503.1300048828125,3431500.0,503.1300048828125,68.91976583402534,504.7439786492579,343.2969484747656,424.02046356201174,411.6759259033203,272.2908415985107,461.7729202448246,432.5284933711057,30.867141723632812,1672924550.1634216,112713891840.0,1.634,bull,0.91689824375519,"['New/near 20D high: close=503.13, high_20d=503.13', 'Momentum confirmation: RSI14=68.92', 'Liquidity filter passed: avg$vol20d=1672924550']","['New/near 20D high: close=503.13, high_20d=503.13', 'Momentum confirmation: RSI14=68.92', 'Liquidity filter passed: avg$vol20d=1672924550']",16,"{'support_level': 343.2969484747656, 'resistance_level': 503.1300048828125, 'atr14': 30.867141723632812, 'stop_loss': 312.4298067511328, 'take_profit': 533.9971466064453, 'method': 'stop=bb_lower-1*atr14; tp=high_20d+1*atr14 (fallback close+3*atr14)'}","{'roe': None, 'pe': 56.786686, 'revenue_growth_qoq': 0.07455306200076084, 'revenue_growth_yoy': 0.21505376344086025}",1.0,0.7229941458506335,1.0
TER,TER,367.989990234375,367.989990234375,3112200.0,367.989990234375,68.91324193994453,360.99753727941953,262.8804595467523,311.9389984130859,305.38377685546874,188.32862392425537,335.4539889450575,318.9463800471916,19.623570033482142,984978961.6326904,57612300288.0,1.794,bull,0.916849314549584,"['New/near 20D high: close=367.99, high_20d=367.99', 'Momentum confirmation: RSI14=68.91', 'Liquidity filter passed: avg$vol20d=984978962']","['New/near 20D high: close=367.99, high_20d=367.99', 'Momentum confirmation: RSI14=68.91', 'Liquidity filter passed: avg$vol20d=984978962']",17,"{'support_level': 262.8804595467523, 'resistance_level': 367.989990234375, 'atr14': 19.623570033482142, 'stop_loss': 243.25688951327018, 'take_profit': 387.61356026785717, 'method': 'stop=bb_lower-1*atr14; tp=high_20d+1*atr14 (fallback close+3*atr14)'}","{'roe': 0.19734, 'pe': 106.355484, 'revenue_growth_qoq': 0.4083761261554062, 'revenue_growth_yoy': 0.43891622082551884}",1.0,0.7228310484986131,1.0
C,C,124.38999938964844,124.38999938964844,8953400.0,124.91999816894531,68.96324240532005,124.74537766400738,101.95062148150043,113.3479995727539,113.47365264892578,103.46607021331788,119.06672927808708,115.35458609905335,3.842857905796596,1634258144.9615097,217597788160.0,1.085,bull,0.9151029652258373,"['New/near 20D high: close=124.39, high_20d=124.92', 'Momentum confirmation: RSI14=68.96', 'Liquidity filter passed: avg$vol20d=1634258145']","['New/near 20D high: close=124.39, high_20d=124.92', 'Momentum confirmation: RSI14=68.96', 'Liquidity filter passed: avg$vol20d=1634258145']",18,"{'support_level': 101.95062148150043, 'resistance_level': 124.91999816894531, 'atr14': 3.842857905796596, 'stop_loss': 98.10776357570384, 'take_profit': 128.7628560747419, 'method': 'stop=bb_lower-1*atr14; tp=high_20d+1*atr14 (fallback close+3*atr14)'}","{'roe': 0.06831, 'pe': 17.795422, 'revenue_growth_qoq': -0.10975333785924413, 'revenue_growth_yoy': 0.0042887776983560055}",0.995757294371874,0.7240810601330011,1.0
PCAR,PCAR,127.19000244140625,127.19000244140625,2467900.0,127.19000244140625,68.61276603634866,125.61564870530889,108.24735178297236,116.93150024414062,121.49336441040039,106.17516841888428,121.42641185044134,119.40217667611405,2.8714283534458707,293786254.98630524,66888515584.0,1.064,bull,0.914595745272615,"['New/near 20D high: close=127.19, high_20d=127.19', 'Momentum confirmation: RSI14=68.61', 'Liquidity filter passed: avg$vol20d=293786255']","['New/near 20D high: close=127.19, high_20d=127.19', 'Momentum confirmation: RSI14=68.61', 'Liquidity filter passed: avg$vol20d=293786255']",19,"{'support_level': 108.24735178297236, 'resistance_level': 127.19000244140625, 'atr14': 2.8714283534458707, 'stop_loss': 105.3759234295265, 'take_profit': 130.06143079485213, 'method': 'stop=bb_lower-1*atr14; tp=high_20d+1*atr14 (fallback close+3*atr14)'}","{'roe': 0.12922, 'pe': 28.139381, 'revenue_growth_qoq': 0.022332803741119234, 'revenue_growth_yoy': -0.13742649383496686}",1.0,0.7153191509087165,1.0
CIEN,CIEN,496.0199890136719,496.0199890136719,2496800.0,496.0199890136719,68.41545531525301,501.8368332679032,327.5181716149093,414.67750244140626,351.1618008422852,205.68974967956544,454.729072886882,417.3231298251395,35.84642900739397,1357525383.7268066,70168698880.0,1.017,bull,0.9131159148643975,"['New/near 20D high: close=496.02, high_20d=496.02', 'Momentum confirmation: RSI14=68.42', 'Liquidity filter passed: avg$vol20d=1357525384']","['New/near 20D high: close=496.02, high_20d=496.02', 'Momentum confirmation: RSI14=68.42', 'Liquidity filter passed: avg$vol20d=1357525384']",20,"{'support_level': 327.5181716149093, 'resistance_level': 496.0199890136719, 'atr14': 35.84642900739397, 'stop_loss': 291.67174260751534, 'take_profit': 531.8664180210659, 'method': 'stop=bb_lower-1*atr14; tp=high_20d+1*atr14 (fallback close+3*atr14)'}","{'roe': 0.08201, 'pe': 311.96225, 'revenue_growth_qoq': 0.05551692919442841, 'revenue_growth_yoy': 0.3308731091339787}",1.0,0.7103863828813253,1.0
